analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value
main,runs_next,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.06397928508986783,0.2207400903295839,0.47286675021863056,1.5034571387850804e-07
main,runs_next,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.04826315568854369,0.19012547259886742,0.38007227419382145,9.342352891295036e-09
main,runs_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.039621575798104304,0.19871003914393018,0.354597221115343,1.6107337685866696e-11
main,runs_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.034325709067787556,0.20847667134966366,0.34351308133983594,1.509903313490213e-14
main,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.0728238612392128,0.20386333600419795,0.4897435045440165,2.2582555014860617e-06
main,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.05092325430637462,0.18528929495585017,0.3849084518368387,2.160911649617958e-08
main,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04011591824092633,0.19802643037742096,0.35528082988185217,5.335287767138652e-12
main,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.03415003106250632,0.2090608154622374,0.34292893722726214,6.661338147750939e-16
main,runs_next,0.025,hc1,none,0,0,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.072740698789099,0.20423165064747317,0.48937518990074125,1.8637160732470903e-06
main,runs_next,0.05,hc1,none,0,0,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.0517143029210558,0.18373883967107507,0.3864589071216138,3.5284883681541146e-08
main,runs_next,0.075,hc1,none,0,0,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04133213402809475,0.19564264743457085,0.3576646128247023,2.1800339311539574e-11
main,runs_next,0.1,hc1,none,0,0,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.035255339562010615,0.20689441080320897,0.3450953418862906,4.884981308350689e-15
main,wins_next,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06583558888215765,0.05370615215087954,0.3131480496864863,0.005781097501317944
main,wins_next,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.046874289095813454,0.09334600360330142,0.27782671489878064,9.375712173986805e-05
main,wins_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.03673041902688078,0.13058369479331244,0.27509590561263975,6.799267748824889e-08
main,wins_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.03175730215062651,0.17270687354238604,0.29763924026858884,1.0458300891968975e-12
main,wins_next,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555669214391133,0.054751156797479994,0.31210304503988584,0.0052609571051434045
main,wins_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.04538696323740273,0.09662791130573167,0.2745448071963504,4.332752612512536e-05
main,wins_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.03533305295824233,0.13358701640482112,0.27209258400113107,9.42333233666659e-09
main,wins_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.02983634642885996,0.17669381790492195,0.29365229590605296,3.1086244689504383e-15
main,wins_next,0.025,hc1,none,0,0,916,544,372,0.08639705882352941,0.3602150537634409,0.18342710091868292,0.06555156831211202,0.054946027026943345,0.3119081748104225,0.005138657698430471
main,wins_next,0.05,hc1,none,0,0,2118,1394,724,0.05595408895265423,0.40193370165745856,0.18558635925104103,0.045800108221923416,0.09581814713607113,0.27535457136601094,5.076118785196648e-05
main,wins_next,0.075,hc1,none,0,0,3785,2761,1024,0.03513219847881202,0.4296875,0.2028398002029761,0.036386617164883006,0.1315220305598054,0.2741575698461468,2.4813983090510305e-08
main,wins_next,0.1,hc1,none,0,0,5369,4070,1299,0.026535626535626536,0.4449576597382602,0.23517305690548745,0.031004117973805933,0.17440498567682783,0.2959411281341471,3.3084646133829665e-14
